country,latitude,longitude,value,type
Bangladesh,24.9197,89.9481,8,incidents
Bangladesh,24.956,90.3668,1,incidents
Bangladesh,24.96,89.83,1,incidents
Bangladesh,25.0188,90.0175,2,incidents
Bangladesh,25.0385,91.6695,1,incidents
Bangladesh,25.0405,88.7598,1,incidents
Bangladesh,25.0688,91.4024,6,incidents
Bangladesh,25.089,90.1935,2,incidents
Bangladesh,25.0937,91.7487,1,incidents
Bangladesh,25.0945,89.0229,2,incidents
Bangladesh,25.103,91.1975,1,incidents
Bangladesh,25.1643,89.7637,1,incidents
Bangladesh,25.1849,89.8693,8,incidents
Bangladesh,25.1864,89.0191,1,incidents
Bangladesh,25.2125,89.8246,1,incidents
Bangladesh,25.2482,89.6736,2,incidents
Bangladesh,25.2826,89.0191,2,incidents
Bangladesh,25.3353,89.5419,4,incidents
Bangladesh,25.389,88.9933,1,incidents
Bangladesh,25.4388,89.7944,1,incidents
Bangladesh,25.5416,89.2833,1,incidents
Bangladesh,25.5561,89.6709,2,incidents
Bangladesh,25.568,89.5222,1,incidents
Bangladesh,25.5754,89.8306,1,incidents
Bangladesh,25.6274,88.6377,2,incidents
Bangladesh,25.6556,88.7782,1,incidents
Bangladesh,25.656,88.9162,1,incidents
Bangladesh,25.6741,89.0537,1,incidents
Bangladesh,25.6769,89.5987,1,incidents
Bangladesh,25.7466,89.2516,10,incidents
Bangladesh,25.7781,88.8975,2,incidents
Bangladesh,25.8036,89.5402,1,incidents
Bangladesh,25.8115,89.6428,5,incidents
Bangladesh,25.8411,89.5306,1,incidents
Bangladesh,25.8558,88.3594,1,incidents
Bangladesh,25.8623,88.6539,1,incidents
Bangladesh,25.891,88.2653,1,incidents
Bangladesh,25.9171,89.4459,9,incidents
Bangladesh,25.925,88.7313,1,incidents
Bangladesh,25.9257,89.3578,1,incidents
Bangladesh,25.949,89.5559,1,incidents
Bangladesh,25.9666,88.95,2,incidents
Bangladesh,26.021,88.4677,10,incidents
Bangladesh,26.0222,89.0158,1,incidents
Bangladesh,26.1021,88.8196,1,incidents
Bangladesh,26.1184,88.7595,1,incidents
Bangladesh,26.12,89.14,3,incidents
Bangladesh,26.131,88.3743,2,incidents
Bangladesh,26.1998,88.5552,1,incidents
Bangladesh,26.3083,88.3994,1,incidents
Bangladesh,26.3334,88.5578,1,incidents
Bangladesh,26.4008,88.9369,1,incidents
India,8.3828,76.9889,1,incidents
India,8.4855,76.9492,10,incidents
India,8.6982,76.8137,1,incidents
India,8.8811,76.5846,2,incidents
India,9.2666,76.7833,1,incidents
India,9.3715,78.8307,1,incidents
India,9.4499,77.7979,1,incidents
India,9.49,76.3264,2,incidents
India,9.5615,76.475,1,incidents
India,9.585,77.9578,1,incidents
India,9.5869,76.5213,2,incidents
India,9.85,76.9666,1,incidents
India,9.9398,76.2602,5,incidents
India,9.9671,76.2903,1,incidents
India,10.1076,76.3515,1,incidents
India,10.2932,76.5141,1,incidents
India,10.309,76.329,1,incidents
India,10.3606,78.9849,1,incidents
India,10.5166,76.2166,1,incidents
India,10.7744,76.6562,1,incidents
India,10.998,77.2828,1,incidents
India,11.0055,76.9661,1,incidents
India,11.0093,76.351,1,incidents
India,11.0401,76.0823,2,incidents
India,11.248,75.7804,6,incidents
India,11.7044,76.0827,1,incidents
India,11.7382,78.9632,1,incidents
India,11.8675,75.3576,1,incidents
India,11.9305,75.5749,1,incidents
India,11.9338,79.8297,1,incidents
India,11.9717,75.3614,1,incidents
India,12.2979,76.6392,1,incidents
India,12.4983,74.9895,1,incidents
India,12.5192,78.2138,1,incidents
India,12.7461,78.3423,1,incidents
India,12.8193,76.7545,1,incidents
India,12.9172,74.856,2,incidents
India,12.9421,80.0217,1,incidents
India,12.9719,77.5936,3,incidents
India,13.0071,76.0962,3,incidents
India,13.0878,80.2784,10,incidents
India,13.4351,77.7278,1,incidents
India,13.6355,79.4198,2,incidents
India,14.4194,78.225,1,incidents
India,14.4669,75.9269,1,incidents
India,14.4799,78.8234,3,incidents
India,14.6185,77.6047,1,incidents
India,14.6778,77.6081,2,incidents
India,14.9397,77.2613,1,incidents
India,15.4779,78.4836,1,incidents
India,15.5016,80.0409,1,incidents
India,15.8276,78.0338,3,incidents
India,15.8521,74.5044,1,incidents
India,16.226,77.8176,1,incidents
India,16.3673,78.0688,1,incidents
